CoordOnSphere1,CoordOnSphere2,CoordOnSphere3,CoordOnPlane1,CoordOnPlane2,names_channels
-0.339970001,0.923890026,0.175634901,-0.255145696,0.693374599,Fp1
0.339970001,0.923890026,0.175634901,0.255145696,0.693374599,Fp2
-0.405336734,0.563501346,0.719839124,-0.237408293,0.330046308,F3
0.405336734,0.563501346,0.719839124,0.237408293,0.330046308,F4
-0.57304989,0.004915021,0.819505745,-0.323366472,0.002773498,C3
0.57304989,0.004915021,0.819505745,0.323366472,0.002773498,C4
-0.484281276,-0.499307488,0.71844532,-0.283798423,-0.292604081,P3
0.484281276,-0.499307488,0.71844532,0.283798423,-0.292604081,P4
-0.352672778,-0.875087788,0.331426122,-0.244230373,-0.606009397,O1
0.352672778,-0.875087788,0.331426122,0.244230373,-0.606009397,O2
NA,NA,NA,NA,NA,SP1
NA,NA,NA,NA,NA,SP2
-0.623515966,0.709688789,0.327978144,-0.432519711,0.492295958,F7
0.623515966,0.709688789,0.327978144,0.432519711,0.492295958,F8
-0.942619199,0.020042859,0.333267655,-0.652190604,0.013867492,T3
0.942619199,0.020042859,0.333267655,0.652190604,0.013867492,T4
-0.722325187,-0.608123177,0.329290944,-0.500740487,-0.421571753,T5
0.722325187,-0.608123177,0.329290944,0.500740487,-0.421571753,T6
0,0.802593441,0.596526419,3.02293e-17,0.493682711,Fz
0,0,0,0,0,Cz
0,-0.570512524,0.821288902,1.97e-17,-0.321725812,Pz
